Year,CityName,GeographicLevel,Category,Measure,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,CityFIPS,TractFIPS,Short_Question_Text
2014,New Haven,City,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,68.1,67.9,68.3,0952000,NA,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,64.6,63.7,65.5,0952000,09009140100,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,71.1,70.1,72.2,0952000,09009140200,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,65.0,64.1,66.0,0952000,09009140300,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,66.8,65.9,67.9,0952000,09009140400,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,65.5,64.5,66.7,0952000,09009140500,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,68.6,67.6,69.6,0952000,09009140600,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,65.8,64.7,66.8,0952000,09009140700,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,72.8,72.0,73.6,0952000,09009140800,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,70.2,69.3,70.9,0952000,09009140900,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,70.9,70.0,71.8,0952000,09009141000,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,75.3,74.7,75.9,0952000,09009141100,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,72.5,71.6,73.3,0952000,09009141200,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,65.9,64.2,67.4,0952000,09009141300,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,72.1,71.3,72.9,0952000,09009141400,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,74.9,73.8,75.9,0952000,09009141500,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,70.7,69.8,71.6,0952000,09009141600,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,68.9,68.1,69.7,0952000,09009141800,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,66.5,65.4,67.6,0952000,09009141900,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,64.4,63.2,65.4,0952000,09009142000,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,63.6,62.4,64.7,0952000,09009142100,Annual Checkup
2014,New Haven,Census Tract,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,67.4,66.1,68.4,0952000,09009142200,Annual Checkup
