name,race,year,rate
CT,Black,2012,0.73
CT,Hispanic,2012,0.6859999999999999
CT,White,2012,0.9129999999999999
NHPS,Black,2012,0.701
NHPS,Hispanic,2012,0.643
NHPS,White,2012,0.856
NHPS,All,2012,0.7090000000000001
CT,All,2012,0.848
CT,Black,2013,0.757
CT,Hispanic,2013,0.7020000000000001
CT,White,2013,0.914
NHPS,Black,2013,0.72
NHPS,Hispanic,2013,0.624
NHPS,White,2013,0.831
NHPS,All,2013,0.7140000000000001
CT,All,2013,0.855
CT,Black,2014,0.7859999999999999
CT,Hispanic,2014,0.74
CT,White,2014,0.922
NHPS,Black,2014,0.763
NHPS,Hispanic,2014,0.687
NHPS,White,2014,0.851
NHPS,All,2014,0.755
CT,All,2014,0.87
CT,Black,2015,0.7809999999999999
CT,Hispanic,2015,0.748
CT,White,2015,0.927
NHPS,Black,2015,0.769
NHPS,Hispanic,2015,0.6609999999999999
NHPS,White,2015,0.856
NHPS,All,2015,0.7509999999999999
CT,All,2015,0.872
CT,Black,2016,0.7879999999999999
CT,Hispanic,2016,0.764
CT,White,2016,0.925
NHPS,Black,2016,0.79
NHPS,Hispanic,2016,0.722
NHPS,White,2016,0.838
NHPS,All,2016,0.775
CT,All,2016,0.8740000000000001
