tabblk2010,st,stusps,stname,cty,ctyname,trct,trctname,bgrp,bgrpname,cbsa,cbsaname,zcta,zctaname,stplc,stplcname,ctycsub,ctycsubname,stcd114,stcd114name,stsldl,stsldlname,stsldu,stslduname,stschool,stschoolname,stsecon,stseconname,trib,tribname,tsub,tsubname,stanrc,stanrcname,necta,nectaname,mil,milname,stwib,stwibname,createdate
090091401001000,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06511,06511,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001001,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06511,06511,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001002,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06511,06511,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001003,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06511,06511,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001004,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06510,06510,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001005,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06510,06510,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001006,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06510,06510,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001007,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06511,06511,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001008,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06510,06510,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001009,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06511,06511,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001010,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06511,06511,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001011,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06511,06511,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001012,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06510,06510,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
090091401001013,09,CT,Connecticut,09009,"New Haven County, CT",09009140100,"1401 (New Haven, CT)",090091401001,"1 (Tract 1401, New Haven, CT)",35300,"New Haven-Milford, CT",06510,06510,0952000,"New Haven city, CT",0900952070,"New Haven town (New Haven, CT)",0903,CT-03,09096,"State House District 96, CT",09011,"State Senate District 11, CT",0902790,"New Haven School District, CT",9999999,NA,99999,NA,9999999,NA,9999999,NA,75700,"New Haven, CT Metropolitan NECTA",1e22,NA,09090004,South Central WIA,20160222
