name,indicator,year,value
09009140100,annual checkup,2014,0.6459999999999999
09009140200,annual checkup,2014,0.711
09009140300,annual checkup,2014,0.65
09009140400,annual checkup,2014,0.6679999999999999
09009140500,annual checkup,2014,0.655
09009140600,annual checkup,2014,0.6859999999999999
09009140700,annual checkup,2014,0.6579999999999999
09009140800,annual checkup,2014,0.728
09009140900,annual checkup,2014,0.7020000000000001
09009141000,annual checkup,2014,0.7090000000000001
09009141100,annual checkup,2014,0.753
09009141200,annual checkup,2014,0.725
09009141300,annual checkup,2014,0.659
09009141400,annual checkup,2014,0.721
09009141500,annual checkup,2014,0.7490000000000001
09009141600,annual checkup,2014,0.7070000000000001
09009141800,annual checkup,2014,0.6890000000000001
09009141900,annual checkup,2014,0.665
09009142000,annual checkup,2014,0.644
09009142100,annual checkup,2014,0.636
09009142200,annual checkup,2014,0.674
09009142300,annual checkup,2014,0.65
09009142400,annual checkup,2014,0.64
09009142500,annual checkup,2014,0.655
09009142601,annual checkup,2014,0.685
09009142603,annual checkup,2014,0.754
09009142604,annual checkup,2014,0.698
09009142700,annual checkup,2014,0.665
09009142800,annual checkup,2014,0.72
09009361401,annual checkup,2014,0.618
09009361402,annual checkup,2014,0.606
09009140100,arthritis,2014,0.115
09009140200,arthritis,2014,0.359
09009140300,arthritis,2014,0.218
09009140400,arthritis,2014,0.221
09009140500,arthritis,2014,0.24100000000000002
09009140600,arthritis,2014,0.261
09009140700,arthritis,2014,0.192
09009140800,arthritis,2014,0.28800000000000003
09009140900,arthritis,2014,0.226
09009141000,arthritis,2014,0.21600000000000003
09009141100,arthritis,2014,0.253
09009141200,arthritis,2014,0.23800000000000002
09009141300,arthritis,2014,0.155
09009141400,arthritis,2014,0.239
09009141500,arthritis,2014,0.27699999999999997
09009141600,arthritis,2014,0.23800000000000002
09009141800,arthritis,2014,0.163
09009141900,arthritis,2014,0.136
09009142000,arthritis,2014,0.131
09009142100,arthritis,2014,0.19
09009142200,arthritis,2014,0.17800000000000002
09009142300,arthritis,2014,0.21899999999999997
09009142400,arthritis,2014,0.209
09009142500,arthritis,2014,0.223
09009142601,arthritis,2014,0.225
09009142603,arthritis,2014,0.35100000000000003
09009142604,arthritis,2014,0.233
09009142700,arthritis,2014,0.209
09009142800,arthritis,2014,0.249
09009361401,arthritis,2014,0.098
09009361402,arthritis,2014,0.048
09009140100,binge drinking,2014,0.195
09009140200,binge drinking,2014,0.081
09009140300,binge drinking,2014,0.12300000000000001
09009140400,binge drinking,2014,0.135
09009140500,binge drinking,2014,0.11900000000000001
09009140600,binge drinking,2014,0.11599999999999999
09009140700,binge drinking,2014,0.14
09009140800,binge drinking,2014,0.10800000000000001
09009140900,binge drinking,2014,0.13699999999999998
09009141000,binge drinking,2014,0.163
09009141100,binge drinking,2014,0.135
09009141200,binge drinking,2014,0.132
09009141300,binge drinking,2014,0.16699999999999998
09009141400,binge drinking,2014,0.127
09009141500,binge drinking,2014,0.107
09009141600,binge drinking,2014,0.14
09009141800,binge drinking,2014,0.154
09009141900,binge drinking,2014,0.196
09009142000,binge drinking,2014,0.184
09009142100,binge drinking,2014,0.14400000000000002
09009142200,binge drinking,2014,0.191
09009142300,binge drinking,2014,0.134
09009142400,binge drinking,2014,0.138
09009142500,binge drinking,2014,0.139
09009142601,binge drinking,2014,0.136
09009142603,binge drinking,2014,0.1
09009142604,binge drinking,2014,0.15
09009142700,binge drinking,2014,0.15
09009142800,binge drinking,2014,0.16
09009361401,binge drinking,2014,0.18899999999999997
09009361402,binge drinking,2014,0.21600000000000003
09009140100,cancer (except skin),2014,0.032
09009140200,cancer (except skin),2014,0.084
09009140300,cancer (except skin),2014,0.035
09009140400,cancer (except skin),2014,0.042
09009140500,cancer (except skin),2014,0.037000000000000005
09009140600,cancer (except skin),2014,0.047
09009140700,cancer (except skin),2014,0.035
09009140800,cancer (except skin),2014,0.055
09009140900,cancer (except skin),2014,0.044000000000000004
09009141000,cancer (except skin),2014,0.066
09009141100,cancer (except skin),2014,0.076
09009141200,cancer (except skin),2014,0.052000000000000005
09009141300,cancer (except skin),2014,0.035
09009141400,cancer (except skin),2014,0.048
09009141500,cancer (except skin),2014,0.048
09009141600,cancer (except skin),2014,0.044000000000000004
09009141800,cancer (except skin),2014,0.045
09009141900,cancer (except skin),2014,0.047
09009142000,cancer (except skin),2014,0.040999999999999995
09009142100,cancer (except skin),2014,0.034
09009142200,cancer (except skin),2014,0.055999999999999994
09009142300,cancer (except skin),2014,0.040999999999999995
09009142400,cancer (except skin),2014,0.036000000000000004
09009142500,cancer (except skin),2014,0.044000000000000004
09009142601,cancer (except skin),2014,0.046
09009142603,cancer (except skin),2014,0.09300000000000001
09009142604,cancer (except skin),2014,0.057
09009142700,cancer (except skin),2014,0.047
09009142800,cancer (except skin),2014,0.081
09009361401,cancer (except skin),2014,0.024
09009361402,cancer (except skin),2014,0.012
09009140100,cholesterol screening,2013,0.6579999999999999
09009140200,cholesterol screening,2013,0.72
09009140300,cholesterol screening,2013,0.644
09009140400,cholesterol screening,2013,0.6940000000000001
09009140500,cholesterol screening,2013,0.685
09009140600,cholesterol screening,2013,0.713
09009140700,cholesterol screening,2013,0.655
09009140800,cholesterol screening,2013,0.76
09009140900,cholesterol screening,2013,0.737
09009141000,cholesterol screening,2013,0.7979999999999999
09009141100,cholesterol screening,2013,0.826
09009141200,cholesterol screening,2013,0.7659999999999999
09009141300,cholesterol screening,2013,0.58
09009141400,cholesterol screening,2013,0.74
09009141500,cholesterol screening,2013,0.746
09009141600,cholesterol screening,2013,0.7140000000000001
09009141800,cholesterol screening,2013,0.72
09009141900,cholesterol screening,2013,0.7240000000000001
09009142000,cholesterol screening,2013,0.6809999999999999
09009142100,cholesterol screening,2013,0.654
09009142200,cholesterol screening,2013,0.759
09009142300,cholesterol screening,2013,0.696
09009142400,cholesterol screening,2013,0.67
09009142500,cholesterol screening,2013,0.7070000000000001
09009142601,cholesterol screening,2013,0.733
09009142603,cholesterol screening,2013,0.8240000000000001
09009142604,cholesterol screening,2013,0.773
09009142700,cholesterol screening,2013,0.736
09009142800,cholesterol screening,2013,0.826
09009361401,cholesterol screening,2013,0.515
09009361402,cholesterol screening,2013,0.451
09009140100,chronic kidney disease,2014,0.013999999999999999
09009140200,chronic kidney disease,2014,0.047
09009140300,chronic kidney disease,2014,0.03
09009140400,chronic kidney disease,2014,0.028999999999999998
09009140500,chronic kidney disease,2014,0.032
09009140600,chronic kidney disease,2014,0.034
09009140700,chronic kidney disease,2014,0.023
09009140800,chronic kidney disease,2014,0.034
09009140900,chronic kidney disease,2014,0.025
09009141000,chronic kidney disease,2014,0.02
09009141100,chronic kidney disease,2014,0.026000000000000002
09009141200,chronic kidney disease,2014,0.026000000000000002
09009141300,chronic kidney disease,2014,0.02
09009141400,chronic kidney disease,2014,0.027000000000000003
09009141500,chronic kidney disease,2014,0.035
09009141600,chronic kidney disease,2014,0.03
09009141800,chronic kidney disease,2014,0.017
09009141900,chronic kidney disease,2014,0.013999999999999999
09009142000,chronic kidney disease,2014,0.013999999999999999
09009142100,chronic kidney disease,2014,0.023
09009142200,chronic kidney disease,2014,0.018000000000000002
09009142300,chronic kidney disease,2014,0.028999999999999998
09009142400,chronic kidney disease,2014,0.028999999999999998
09009142500,chronic kidney disease,2014,0.027999999999999997
09009142601,chronic kidney disease,2014,0.025
09009142603,chronic kidney disease,2014,0.038
09009142604,chronic kidney disease,2014,0.027000000000000003
09009142700,chronic kidney disease,2014,0.023
09009142800,chronic kidney disease,2014,0.024
09009361401,chronic kidney disease,2014,0.013000000000000001
09009361402,chronic kidney disease,2014,0.006999999999999999
09009140100,colorectal cancer screening,2014,0.7140000000000001
09009140200,colorectal cancer screening,2014,0.5
09009140300,colorectal cancer screening,2014,0.5
09009140400,colorectal cancer screening,2014,0.555
09009140500,colorectal cancer screening,2014,0.495
09009140600,colorectal cancer screening,2014,0.53
09009140700,colorectal cancer screening,2014,0.57
09009140800,colorectal cancer screening,2014,0.5820000000000001
09009140900,colorectal cancer screening,2014,0.612
09009141000,colorectal cancer screening,2014,0.741
09009141100,colorectal cancer screening,2014,0.7490000000000001
09009141200,colorectal cancer screening,2014,0.659
09009141300,colorectal cancer screening,2014,0.636
09009141400,colorectal cancer screening,2014,0.636
09009141500,colorectal cancer screening,2014,0.612
09009141600,colorectal cancer screening,2014,0.622
09009141800,colorectal cancer screening,2014,0.722
09009141900,colorectal cancer screening,2014,0.764
09009142000,colorectal cancer screening,2014,0.723
09009142100,colorectal cancer screening,2014,0.55
09009142200,colorectal cancer screening,2014,0.741
09009142300,colorectal cancer screening,2014,0.525
09009142400,colorectal cancer screening,2014,0.515
09009142500,colorectal cancer screening,2014,0.5489999999999999
09009142601,colorectal cancer screening,2014,0.597
09009142603,colorectal cancer screening,2014,0.665
09009142604,colorectal cancer screening,2014,0.66
09009142700,colorectal cancer screening,2014,0.61
09009142800,colorectal cancer screening,2014,0.743
09009361401,colorectal cancer screening,2014,0.624
09009361402,colorectal cancer screening,2014,0.643
09009140100,copd,2014,0.026000000000000002
09009140200,copd,2014,0.125
09009140300,copd,2014,0.07400000000000001
09009140400,copd,2014,0.066
09009140500,copd,2014,0.083
09009140600,copd,2014,0.083
09009140700,copd,2014,0.061
09009140800,copd,2014,0.087
09009140900,copd,2014,0.065
09009141000,copd,2014,0.045
09009141100,copd,2014,0.048
09009141200,copd,2014,0.062
09009141300,copd,2014,0.049
09009141400,copd,2014,0.066
09009141500,copd,2014,0.08199999999999999
09009141600,copd,2014,0.071
09009141800,copd,2014,0.034
09009141900,copd,2014,0.025
09009142000,copd,2014,0.027999999999999997
09009142100,copd,2014,0.065
09009142200,copd,2014,0.038
09009142300,copd,2014,0.066
09009142400,copd,2014,0.067
09009142500,copd,2014,0.068
09009142601,copd,2014,0.065
09009142603,copd,2014,0.094
09009142604,copd,2014,0.059000000000000004
09009142700,copd,2014,0.057999999999999996
09009142800,copd,2014,0.052000000000000005
09009361401,copd,2014,0.033
09009361402,copd,2014,0.022000000000000002
09009140100,core preventive services for older men,2014,0.35200000000000004
09009140200,core preventive services for older men,2014,0.273
09009140300,core preventive services for older men,2014,0.237
09009140400,core preventive services for older men,2014,0.289
09009140500,core preventive services for older men,2014,0.223
09009140600,core preventive services for older men,2014,0.245
09009140700,core preventive services for older men,2014,0.264
09009140800,core preventive services for older men,2014,0.248
09009140900,core preventive services for older men,2014,0.275
09009141000,core preventive services for older men,2014,0.381
09009141100,core preventive services for older men,2014,0.365
09009141200,core preventive services for older men,2014,0.294
09009141300,core preventive services for older men,2014,0.307
09009141400,core preventive services for older men,2014,0.28
09009141500,core preventive services for older men,2014,0.233
09009141600,core preventive services for older men,2014,0.245
09009141800,core preventive services for older men,2014,0.36700000000000005
09009141900,core preventive services for older men,2014,0.40399999999999997
09009142000,core preventive services for older men,2014,0.379
09009142100,core preventive services for older men,2014,0.25
09009142200,core preventive services for older men,2014,0.37200000000000005
09009142300,core preventive services for older men,2014,0.272
09009142400,core preventive services for older men,2014,0.248
09009142500,core preventive services for older men,2014,0.275
09009142601,core preventive services for older men,2014,0.301
09009142603,core preventive services for older men,2014,0.312
09009142604,core preventive services for older men,2014,0.327
09009142700,core preventive services for older men,2014,0.318
09009142800,core preventive services for older men,2014,0.391
09009361401,core preventive services for older men,2014,0.315
09009361402,core preventive services for older men,2014,0.34299999999999997
09009140100,core preventive services for older women,2014,0.377
09009140200,core preventive services for older women,2014,0.209
09009140300,core preventive services for older women,2014,0.226
09009140400,core preventive services for older women,2014,0.285
09009140500,core preventive services for older women,2014,0.221
09009140600,core preventive services for older women,2014,0.235
09009140700,core preventive services for older women,2014,0.267
09009140800,core preventive services for older women,2014,0.253
09009140900,core preventive services for older women,2014,0.29600000000000004
09009141000,core preventive services for older women,2014,0.415
09009141100,core preventive services for older women,2014,0.402
09009141200,core preventive services for older women,2014,0.324
09009141300,core preventive services for older women,2014,0.295
09009141400,core preventive services for older women,2014,0.301
09009141500,core preventive services for older women,2014,0.262
09009141600,core preventive services for older women,2014,0.27699999999999997
09009141800,core preventive services for older women,2014,0.392
09009141900,core preventive services for older women,2014,0.439
09009142000,core preventive services for older women,2014,0.40700000000000003
09009142100,core preventive services for older women,2014,0.253
09009142200,core preventive services for older women,2014,0.414
09009142300,core preventive services for older women,2014,0.26
09009142400,core preventive services for older women,2014,0.25
09009142500,core preventive services for older women,2014,0.268
