name,Short_Question_Text,value
09009140100,Current Asthma,0.08900000000000001
09009140200,Current Asthma,0.129
09009140300,Current Asthma,0.122
09009140400,Current Asthma,0.115
09009140500,Current Asthma,0.132
09009140600,Current Asthma,0.127
09009140700,Current Asthma,0.122
09009140800,Current Asthma,0.133
09009140900,Current Asthma,0.12300000000000001
09009141000,Current Asthma,0.092
09009141100,Current Asthma,0.095
09009141200,Current Asthma,0.12
09009141300,Current Asthma,0.122
09009141400,Current Asthma,0.125
09009141500,Current Asthma,0.139
09009141600,Current Asthma,0.125
09009141800,Current Asthma,0.092
09009141900,Current Asthma,0.083
09009142000,Current Asthma,0.086
09009142100,Current Asthma,0.12300000000000001
09009142200,Current Asthma,0.08800000000000001
09009142300,Current Asthma,0.11199999999999999
09009142400,Current Asthma,0.11699999999999999
09009142500,Current Asthma,0.114
09009142601,Current Asthma,0.114
09009142603,Current Asthma,0.107
09009142604,Current Asthma,0.102
09009142700,Current Asthma,0.10300000000000001
09009142800,Current Asthma,0.08800000000000001
09009361401,Current Asthma,0.10300000000000001
09009361402,Current Asthma,0.10400000000000001
