year	name	value	type	indicator	series
2012	GNH	0.2	Past	food_insecurity	base
2012	New Haven	0.31	Past	food_insecurity	base
2015	GNH	0.14	Past	food_insecurity	base
2015	New Haven	0.22	Past	food_insecurity	base
2015	New Haven	0.22	Past	food_insecurity	second
2020	New Haven	0.15	Goal	food_insecurity	second
2012	CT	0.1	Past	insurance	base
2012	GNH	0.1	Past	insurance	base
2012	New Haven	0.13	Past	insurance	base
2015	CT	0.05	Past	insurance	base
2015	GNH	0.04	Past	insurance	base
2015	New Haven	0.08	Past	insurance	base
2015	New Haven	0.08	Past	insurance	second
2020	New Haven	0.042	Goal	insurance	second
2012	GNH	0.27	Past	obesity	base
2012	New Haven	0.29	Past	obesity	base
2015	GNH	0.29	Past	obesity	base
2015	New Haven	0.32	Past	obesity	base
2015	New Haven	0.32	Past	obesity	second
2020	New Haven	0.26	Goal	obesity	second
2012	GNH	0.17	Past	smoking	base
2015	GNH	0.15	Past	smoking	base
2012	New Haven	0.23	Past	smoking	base
2015	New Haven	0.18	Past	smoking	base
2015	New Haven	0.18	Past	smoking	second
2020	New Haven	0.14	Goal	smoking	second
