name,indicator,year,type,value,series
GNH,food_insecurity,2012,Past,0.2,base
New Haven,food_insecurity,2012,Past,0.31,base
GNH,food_insecurity,2015,Past,0.14,base
New Haven,food_insecurity,2015,Past,0.22,base
New Haven,food_insecurity,2015,Past,0.22,second
New Haven,food_insecurity,2020,Goal,0.15,second
CT,insurance,2012,Past,0.1,base
GNH,insurance,2012,Past,0.1,base
New Haven,insurance,2012,Past,0.13,base
CT,insurance,2015,Past,0.05,base
GNH,insurance,2015,Past,0.04,base
New Haven,insurance,2015,Past,0.08,base
New Haven,insurance,2015,Past,0.08,second
New Haven,insurance,2020,Goal,0.042,second
GNH,obesity,2012,Past,0.27,base
New Haven,obesity,2012,Past,0.29,base
GNH,obesity,2015,Past,0.29,base
New Haven,obesity,2015,Past,0.32,base
New Haven,obesity,2015,Past,0.32,second
New Haven,obesity,2020,Goal,0.26,second
GNH,smoking,2012,Past,0.17,base
GNH,smoking,2015,Past,0.15,base
New Haven,smoking,2012,Past,0.23,base
New Haven,smoking,2015,Past,0.18,base
New Haven,smoking,2015,Past,0.18,second
New Haven,smoking,2020,Goal,0.14,second
