name,indicator,year,value,raw
Amity,severe cost burden,2015,0.21,387
Annex,severe cost burden,2015,0.276,658
Beaver Hills,severe cost burden,2015,0.341,704
Dixwell,severe cost burden,2015,0.322,590
Dwight,severe cost burden,2015,0.316,536
East Shore,severe cost burden,2015,0.179,369
Edgewood,severe cost burden,2015,0.349,640
Fair Haven Heights,severe cost burden,2015,0.184,584
Hill,severe cost burden,2015,0.426,2246
Newhallville,severe cost burden,2015,0.395,979
Prospect Hill,severe cost burden,2015,0.222,363
Quinnipiac Meadows,severe cost burden,2015,0.216,454
West River,severe cost burden,2015,0.339,507
West Rock,severe cost burden,2015,0.199,168
Westville,severe cost burden,2015,0.164,592
Wooster Square/Mill River,severe cost burden,2015,0.222,354
Downtown,severe cost burden,2015,0.292,1243
East Rock,severe cost burden,2015,0.197,758
Fair Haven,severe cost burden,2015,0.429,2466
